CLIENTNUM,Customer_Age,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,transaction_amount_intensity,open_to_buy_ratio,credit_stress_label,Gender_Encoded,Education_Level_Encoded,Income_Category_Encoded,Card_Category_Encoded,Credit_Limit_Normalized,Total_Revolving_Bal_Normalized,Total_Trans_Amt_Normalized,Avg_Utilization_Ratio_Normalized
768805383,45,39,5,1,3,27.238095238095237,0.9387755102040817,0,1,3,2,0,0.3401899164694039,0.30870083432657924,0.03527317236007567,0.061061061061061066
818770008,49,44,6,1,2,39.121212121212125,0.8953488372093024,0,0,2,4,0,0.20611167040029993,0.3432657926102503,0.043451652386780906,0.10510510510510511
713982108,51,36,4,1,0,94.35,1.0,0,1,2,3,0,0.05984998957001244,0.0,0.07661065984199399,0.0
769911858,40,34,3,4,1,58.55,0.24026562028373075,2,0,3,4,0,0.05667564552553534,1.0,0.036775342160899074,0.7607607607607608
709106358,40,21,5,1,0,29.142857142857142,1.0,0,1,5,2,0,0.09909092832935787,0.0,0.01702459107599866,0.0
713061558,44,36,3,1,2,45.333333333333336,0.6890274314214464,0,1,2,1,0,0.07774724361125473,0.4954310687326182,0.032157560921330805,0.31131131131131135
810347208,51,46,6,1,3,42.903225806451616,0.9344072314289026,0,1,6,0,1,1.0000000000000002,0.8994835121176004,0.04562145321019251,0.06606606606606608
818906208,32,27,2,2,2,42.72222222222222,0.9519961486881469,0,1,3,2,3,0.8356899058882571,0.5546285260230434,0.057193724268387675,0.048048048048048055
710930508,37,36,5,2,0,56.25,0.8873926270579814,0,1,5,2,0,0.6322598004093393,1.0,0.04673417158117281,0.11311311311311313
719661558,48,36,6,3,3,45.03125,0.8561256005490734,0,1,2,3,0,0.3088999537452725,0.66626936829559,0.051797040169133196,0.14414414414414414
708790833,42,31,5,3,2,28.595238095238095,0.782602252519265,0,1,5,0,0,0.1605220435520003,0.5828367103694875,0.03844441971736953,0.21721721721721723
710821833,65,54,6,2,3,50.53846153846154,0.8255085211654756,0,1,6,1,0,0.23147619090807406,0.6305125148986889,0.04473127851340826,0.1741741741741742
710599683,56,36,3,6,0,90.52941176470588,1.0,0,1,0,3,0,0.3117719793093232,0.0,0.05724936018693669,0.0
816082233,35,30,5,1,3,39.72727272727273,0.8050778050778051,0,1,2,2,0,0.21490913818070786,0.6618990862137465,0.04456437075776121,0.1951951951951952
712396908,57,48,5,2,2,54.13793103448276,0.7208538587848933,0,0,2,4,0,0.03016231479214094,0.2701628923321414,0.05897407366195616,0.2792792792792793
714885258,44,37,5,1,2,49.925925925925924,0.7704298535663675,0,1,6,3,0,0.08451917757280586,0.38617401668653156,0.04662289974407477,0.23023023023023026
709967358,48,36,6,2,3,61.888888888888886,0.9222181973853196,0,1,4,3,0,0.8745680624710909,0.9384187524831148,0.0645933014354067,0.07807807807807808
753327333,41,34,4,4,1,48.95238095238095,0.904617657923901,0,1,6,3,0,0.3657055962173912,0.512912197059992,0.028819405808389893,0.0950950950950951
806160108,61,56,2,2,3,44.53333333333333,0.21171312245537113,2,1,3,1,0,0.05304782376041866,1.0,0.045955268721486586,0.7887887887887889
709327383,45,37,6,1,2,57.476190476190474,0.9200414651002073,0,0,2,5,0,0.39397237413725866,0.4596742153357171,0.038778235228663624,0.0800800800800801
806165208,47,42,5,2,0,43.629629629629626,0.9141999141999142,0,1,1,2,0,0.5907514730467959,0.7151370679380215,0.03716479359074218,0.08608608608608609
708508758,62,49,2,3,3,43.25,1.0,2,0,2,4,0,0.0,0.0,0.01012573717592077,0.0
784725333,41,33,4,2,1,51.72222222222222,0.8478747203579419,0,1,3,1,0,0.09165389371086866,0.2701628923321414,0.023422721709135414,0.15215215215215216
811604133,47,36,3,3,2,48.95652173913044,0.3739967897271268,1,0,6,4,0,0.03185529828252872,0.6197854588796186,0.034271725826193394,0.6266266266266267
789124683,54,42,4,2,3,52.857142857142854,1.0,0,1,6,3,0,0.325860020497193,0.0,0.033381551129409145,0.0
771071958,41,28,6,1,2,47.77272727272727,0.7851441812564367,0,0,2,4,0,0.1913585285554921,0.6630909813269765,0.030099031935017246,0.21521521521521522
720466383,59,46,4,1,2,52.04347826086956,0.9070616883116883,0,1,3,1,0,0.4034651744226473,0.5458879618593564,0.03822187604317348,0.0930930930930931
804424383,63,56,3,3,2,47.6,0.9011257953989231,0,1,6,2,0,0.2653358607158297,0.40127135478744536,0.07755647045732725,0.09909909909909911
718813833,44,34,5,2,2,58.44444444444444,1.0,0,0,5,5,0,0.26185919819092623,0.0,0.03015466785356626,0.0
806624208,47,42,6,0,0,27.5,0.7153605015673982,0,1,3,1,0,0.10117692584429996,0.5411203814064363,0.029765216423723154,0.2852852852852853
778348233,53,33,3,2,3,41.52,0.34217217580820924,1,1,6,3,0,0.0397458106216575,0.7195073500198649,0.02937576499388005,0.6586586586586587
712991808,53,48,2,5,1,61.38461538461539,0.31048551611587105,1,1,5,2,0,0.030615792512780522,0.6714342471195868,0.06042060754423055,0.6906906906906907
709029408,41,36,4,1,2,66.20833333333333,0.7179199820688109,0,1,2,2,0,0.22627631304474013,1.0,0.060031156114387446,0.2822822822822823
788658483,53,38,5,2,3,50.392857142857146,0.4377358490566038,1,0,0,4,0,0.03663193027326569,0.591974572904251,0.05012796261266274,0.5625625625625627
787937058,58,49,6,2,2,53.791666666666664,0.8649143767423337,0,1,2,3,0,0.33607838513560495,0.6738180373460468,0.043451652386780906,0.13513513513513514
715318008,55,36,4,2,1,32.72093023255814,0.45625,1,0,0,4,0,0.06293363807036162,0.7604290822407628,0.04990541893846667,0.5445445445445446
713962233,55,36,6,2,3,50.729729729729726,0.242833607907743,2,0,2,4,0,0.04827119176968169,0.9129916567342073,0.07605430065650384,0.7577577577577578
785432733,42,36,2,3,3,43.90909090909091,1.0,0,0,3,4,1,0.42308564380232,0.0,0.02536997885835095,0.0
715190283,57,49,3,3,2,52.285714285714285,0.7587145969498911,0,0,2,1,0,0.06752887897284274,0.3520063567739372,0.05307666629576055,0.24124124124124124
708300483,66,56,5,4,3,44.0,0.9232428317685867,2,0,1,5,0,0.19480495923235294,0.24036551450139054,0.010793368198508953,0.07707707707707709
827111283,45,41,2,2,2,39.607142857142854,0.9821747980016037,0,1,2,3,0,0.9368154375908845,0.22963845848232023,0.03332591521086013,0.018018018018018018
758551608,51,44,4,1,0,48.107142857142854,0.6448025785656728,0,1,6,1,0,0.14410615006484734,0.8756456098529996,0.046567263825525756,0.3553553553553554
773146383,50,43,3,2,3,53.21212121212121,0.8545423023578363,0,0,0,1,3,0.47964943149009753,1.0,0.069322354512073,0.14514514514514515
778493808,49,37,5,2,1,54.875,1.0,0,1,3,2,0,0.07460313141482028,0.0,0.069322354512073,0.0
720572508,38,28,2,3,3,45.30434782608695,0.7909460834181078,0,0,2,5,0,0.2536965992194137,0.8164481525625745,0.02959830866807611,0.2092092092092092
712661433,49,30,3,2,3,51.57142857142857,1.0,0,1,5,3,0,1.0000000000000002,0.0,0.051963947924780235,0.0
789172683,56,45,6,2,0,64.48148148148148,0.3736311870346036,1,1,1,2,0,0.025536842041617165,0.5681366706396503,0.06848781573383776,0.6266266266266267
738406533,59,52,3,2,2,63.666666666666664,0.20722135007849293,2,1,1,1,0,0.0335482817729165,0.8025427095748907,0.06726382552575944,0.7937937937937939
799723908,46,40,4,3,3,45.074074074074076,0.926251413300442,0,1,3,3,0,0.544768832173942,0.5701231624950338,0.03933459441415378,0.07407407407407408
771490833,52,40,5,1,1,28.5,0.7414120126448893,0,1,0,3,0,0.09996765192259438,0.48748510131108463,0.0350506286858796,0.2592592592592593
720756708,52,41,6,3,2,62.6,0.4092295957284516,1,0,6,4,0,0.03578543852807179,0.6154151767977751,0.07610993657505286,0.5915915915915916
779471883,54,40,2,3,1,37.10526315789474,0.4382256830981019,2,0,2,4,0,0.0,0.3210170838299563,0.010849004117057973,0.5625625625625627
711525033,66,54,3,4,2,51.21052631578947,0.31283506780195525,1,0,3,4,0,0.0523827231034806,0.8657131505760827,0.07989317903638589,0.6876876876876878
712813458,49,36,4,2,0,40.4,0.8726407934018114,0,1,6,0,0,0.5539895458269469,1.0,0.05029487036830978,0.12712712712712715
714374133,56,36,1,3,3,40.13333333333333,1.0,2,1,2,0,0,0.4332435447446467,0.0,0.005118504506509403,0.0
